וילה ואלה,-20.32972,-40.2925
סאו פאולא,-23.5475,-46.63611
סאו פאולו,-23.5475,-46.63611
סנטה מריה,-29.68417,-53.80694
סלבדור,-12.97111,-38.51083
ריא דע זשאנערא,-22.90278,-43.2075
ריו דה ז'ניירו,-22.90278,-43.2075
פורטו אלגרה,-30.03306,-51.23
פטרופוליס,-22.505,-43.17861
גוארפארי,-20.65367,-40.50204
גואיאניה,-16.67861,-49.25389
פאס דו איגוואסו,-25.54778,-54.58806
פוז דו איגואסו,-25.54778,-54.58806
פלוריאנופוליס,-27.59667,-48.54917
קוריטיבה,-25.42778,-49.27306
קויאבה,-15.59611,-56.09667
קולטינה,-19.53944,-40.63056
קמפו גרנדה,-20.44278,-54.64639
קצ'וירו יטאפהמירים,-20.84889,-41.11278
ברזיליה,-15.77972,-47.92972
בלו הוריזונטי,-19.92083,-43.93778
אראקז'ו,-10.91111,-37.07167
פלמס,-10.16745,-48.32766
ריו ברנקו,-9.97472,-67.81
פורטו ולאהו,-8.76194,-63.90389
פורטו וליו,-8.76194,-63.90389
מנאוס,-3.10194,-60.025
בואה ויסטה,2.81972,-60.67333
נסאו,25.05823,-77.34306
טהימפהו,27.46609,89.64191
גאבורון,-24.65451,25.90859
וויטעבסק,55.1904,30.2049
ויטבסק,55.1904,30.2049
סלוצק,53.0274,27.5597
פינסק,52.1229,26.0951
נבהרדק,53.5942,25.8191
מינסק,53.9,27.56667
מאזיר,52.0495,29.2456
הורדנה,53.6884,23.8258
הומל,52.4345,30.9754
בריסק,52.09755,23.68775
ברסט ליטובסק,52.09755,23.68775
בוברויסק,53.1384,29.2214
בלמופן,17.25,-88.76667
קלגרי,51.05011,-114.08529
שרלוטטאון,46.23525,-63.12671
אדמונטון,53.55014,-113.46871
פרדריקטון,45.94541,-66.66558
המילטון,43.25011,-79.84963
איקאלואיט,63.75059,-68.51449
קיצ'נר,43.42537,-80.5112
לאוואל,45.56995,-73.692
לונדון,42.98339,-81.23304
מיסיסוגה,43.5789,-79.6583
מונטריאול,45.50884,-73.58781
אוטווה,45.41117,-75.69812
אטאווא,45.41117,-75.69812
רג'יינה,50.45008,-104.6178
סארי,49.10635,-122.82509
טאראנטא,43.70011,-79.4163
טורונטו,43.70011,-79.4163
ונקובר,49.24966,-123.11934
ויקטוריה,48.43294,-123.3693
ויניפג,49.8844,-97.14704
ילונייף,62.456,-114.35255
סנט ג'ונס,47.56494,-52.70931
קוויבק סיטי,46.81228,-71.21454
לובומבאשי,-11.66089,27.47938
מאטדי,-5.79949,13.44068
קינשאזע,-4.32758,15.31357
קינשאסה,-4.32758,15.31357
בנגואי,4.36122,18.55496
ברזוויל,-4.26613,15.28318
ציריך,47.36667,8.55
צרמט,46.02126,7.74912
תון,46.75118,7.62166
זולותורן,47.20791,7.53714
סיון,46.22908,7.35942
מאנטרע,46.43301,6.91143
מונטרה,46.43301,6.91143
לוצרן,47.05048,8.30635
לוגאנא,46.01008,8.96004
לוגאנו,46.01008,8.96004
לוקרנו,46.17086,8.79953
לנצבורג,47.38853,8.17503
לוזאן,46.516,6.63282
אינטרלאקן,46.68387,7.86638
ז'נבה,46.20222,6.14569
דאבוס,46.80429,9.83723
בערן,46.94809,7.44744
ברן,46.94809,7.44744
באזעל,47.5584,7.57327
בזל,47.5584,7.57327
יאמוסוקרו,6.82055,-5.27674
אבידג'אן,5.30966,-4.01266
ויניה דל מאר,-33.02457,-71.55183
דייַטש שטאָט,-33.04222,-71.37333
וואלפאראיסא,-33.03932,-71.62725
ולפראיסו,-33.03932,-71.62725
וואלדיוויא,-39.81422,-73.24589
טעמוקא,-38.73965,-72.59842
טאלקאוואנא,-36.72494,-73.11684
סנטיאגו דה צ'ילה,-33.45694,-70.64827
ראנקאגווע,-34.17083,-70.74444
פּונטא ארענאס,-53.15483,-70.91129
פונטה ארנס,-53.15483,-70.91129
פּארטא מאנט,-41.46574,-72.94289
פוארטו מונט,-41.46574,-72.94289
איקיקה,-20.22036,-70.13913
קאראנעל,-37.03386,-73.14019
אריקא,-18.4746,-70.29792
אריקה,-18.4746,-70.29792
יאונדה,3.86667,11.51667
יאונדע,3.86667,11.51667
דואלה,4.04827,9.70428
להסה,29.65,91.1
ג'אוצ'ינג,23.05116,112.45972
וושי,31.56887,120.28857
ווהאן,30.58333,114.26667
טיינג'ין,39.14222,117.17667
טאי-יואן,37.86944,112.56028
שה-ג'יאג'וואנג,38.04139,114.47861
שנג'ן,22.54554,114.0683
שאוגואן,24.8,113.58333
שאנגחאי,31.22222,121.45806
צ'ינגדאו,36.06605,120.36939
נאנג'ינג,32.06167,118.77778
נאנצ'אנג,28.68333,115.88333
פורט ארתור,38.8,121.26667
לוו-יאנג,34.68361,112.45361
קונמינג,25.03889,102.71833
קאיפנג,34.7986,114.30742
ג'ינאן,36.66833,116.99722
האנגג'ואו,30.29365,120.16142
האנדאן,36.60056,114.46778
גואנגג'ואו,23.11667,113.25
דונגגוואן,23.04889,113.74472
צ'ונגצ'ינג,29.56278,106.55278
צ'נגדו,30.66667,104.06667
בייג'ינג,39.9075,116.39723
בייזשינג,39.9075,116.39723
באודינג,38.85111,115.49028
סוג'ואו,31.30408,120.59538
שן-יאנג,41.79222,123.43278
ג'ילין,43.85083,126.56028
חוחחוט,40.81056,111.65222
חרבין,45.75,126.65
סנטה מרתה,11.24079,-74.19904
מדיין,6.25184,-75.56359
קרטחנה,10.39972,-75.51444
סנטיאגו דה קאלי,3.43722,-76.5225
באגאטא,4.60971,-74.08175
בוגוטה,4.60971,-74.08175
ברנקייה,10.96854,-74.78132
סאן חוסה,9.93333,-84.08333
סן חוסה,9.93333,-84.08333
סנטיאגו דה קובה,20.02472,-75.82194
הוואנה,23.13302,-82.38304
הולגין,20.88722,-76.26306
גואנטנמו,20.14444,-75.20917
קמאגואיי,21.38083,-77.91694
פראיה,14.93152,-23.51254
וילמסטאד,12.1084,-68.93354
ניקאסיע,35.16667,33.36667
ניקוסיה,35.16667,33.36667
לימסול,34.675,33.03333
לרנקה,34.91667,33.62917
קירניה,35.34167,33.31667
פמגוסטה,35.125,33.95
טפליצה,50.6404,13.82451
סלאוקוב,49.15325,16.87649
פראסטיץ,49.47188,17.11184
פרוסטיוב,49.47188,17.11184
פראג,50.08804,14.42076
פילזן,49.74747,13.37759
פילזען,49.74747,13.37759
אוסטרבה,49.83465,18.28204
אולומוץ,49.59552,17.25175
מיקולוב,48.80556,16.6378
ניקאלשבורג,48.80556,16.6378
קוטנה הורה,49.94839,15.26816
קרלובי וארי,50.23271,12.87117
צ'סקי קרומלוב,48.81091,14.31521
ברין,49.19522,16.60796
ברנו,49.19522,16.60796
וירצבורג,49.79391,9.95121
וופרטל,51.27027,7.16755
ווארמז,49.63278,8.35916
וורמס,49.63278,8.35916
וולפסבורג,52.42452,10.7815
וילמרסדורף,52.48333,13.31667
וילהלמסהאפן,53.52998,8.11253
וויסבאדן,50.08258,8.24932
ויסבאדן,50.08258,8.24932
וצלר,50.56109,8.50495
ויינהיים,49.54887,8.66697
ויימאר,50.9803,11.32903
ודינג,52.55,13.36667
אוטרסן,53.68769,9.66394
איטערזען,53.68769,9.66394
אולם,48.39841,9.99155
טובינגן,48.52266,9.05222
טיבינגן,48.52266,9.05222
טריר,49.75565,6.63935
טרויכטלינגן,48.95473,10.90833
טורגאו,51.56016,12.99617
טמפלהוף,52.46667,13.4
שטוטגארט,48.78232,9.17702
שטוטגרט,48.78232,9.17702
שטרלזונד,54.30911,13.0818
שפייר,49.32083,8.43111
זולינגן,51.17343,7.0845
זיגמרינגן,48.08829,9.23033
זיגבורג,50.80019,7.20769
שוורין,53.62937,11.41316
שמלקלדן,50.72136,10.44386
זארבריקן,49.2354,6.98165
ראטנבורג,49.37885,10.18711
רות,49.24762,11.09111
רוסטוק,54.0887,12.14049
רויטלינגן,48.49144,9.20427
רמשייד,51.17983,7.1925
רגנסבורג,49.03451,12.11923
ראציבורג,53.6947,10.79084
קוודלינבורג,51.78843,11.15006
פרנצלאואר ברג,52.53878,13.42443
